"country","density","densityMi","population","area"
"India",484.9067,1255.9084,1441719852,3287590
"China",151.2174,391.653,1425178782,9706961
"United States",37.3673,96.7813,341814420,9372610
"Indonesia",149.0254,385.9758,279798049,1904569
"Pakistan",318.0908,823.8551,245209815,881912
"Nigeria",251.6027,651.6511,229152217,923768
"Brazil",26.039,67.4409,217637297,8515767
"Bangladesh",1342.1004,3476.0401,174701211,147570
"Russia",8.7903,22.7668,143957079,17098242
"Ethiopia",114.9415,297.6986,129719719,1104300
"Mexico",66.5596,172.3893,129388467,1964375
"Japan",336.4374,871.3729,122631432,377930
"Philippines",399.4574,1034.5948,119106224,342353
"Egypt",115.0075,297.8695,114484252,1002450
"DR Congo",46.5914,120.6718,105625114,2344858
"Vietnam",317.4489,822.1926,99497680,331212
"Iran",55.3527,143.3635,89809781,1648195
"Turkey",110.0875,285.1267,86260417,783562
"Germany",238.2795,617.1439,83252474,357114
"Thailand",140.707,364.4311,71885799,513120
"Tanzania",78.3688,202.9752,69419073,945087
"United Kingdom",280.9136,727.5663,67961439,242900
"France",118.4933,306.8976,64881830,551695
"South Africa",50.3015,130.2808,61020221,1221037
"Italy",198.493,514.0968,58697744,301336
"Kenya",98.7508,255.7646,56203030,580367
"Myanmar",84.2151,218.1172,54964694,676578
"Colombia",47.1751,122.1835,52340774,1141748
"South Korea",530.1431,1373.0705,51741963,100210
"Uganda",248.9739,644.8425,49924252,241550
"Sudan",26.423,68.4357,49358228,1886068
"Spain",95.031,246.1303,47473373,505992
"Iraq",107.1658,277.5593,46523657,438317
"Algeria",19.4306,50.3254,46278751,2381741
"Argentina",16.8298,43.5891,46057866,2780400
"Afghanistan",66.4995,172.2336,43372950,652230
"Poland",131.3877,340.2942,40221726,312679
"Canada",4.3619,11.2973,39107046,9984670
"Morocco",85.6183,221.7515,38211459,446550
"Ukraine",65.4778,169.5874,37937821,603500
"Angola",30.3238,78.5385,37804634,1246700
"Saudi Arabia",17.4322,45.1495,37473929,2149690
"Uzbekistan",80.9572,209.6792,35673804,447400
"Yemen",66.7081,172.7739,35219853,527968
"Mozambique",44.3277,114.8087,34858402,801590
"Ghana",152.8461,395.8713,34777522,238533
"Peru",27.0964,70.1798,34683444,1285216
"Malaysia",105.53,273.3228,34671895,330803
"Nepal",217.9303,564.4396,31240315,147181
"Madagascar",53.3802,138.2548,31056610,587041
"Ivory Coast",93.0921,241.1087,29603302,322463
"Venezuela",33.3262,86.3147,29395334,916445
"Cameroon",62.1828,161.0535,29394433,475442
"Niger",22.2933,57.7397,28238972,1267000
"Australia",3.4711,8.9901,26699482,7692024
"North Korea",217.9602,564.5168,26244582,120538
"Syria",132.593,343.4159,24348053,185180
"Mali",19.682,50.9764,24015789,1240192
"Taiwan",661.663,1713.7071,23950214,36193
"Burkina Faso",87.1354,225.6807,23840247,272967
"Sri Lanka",354.8217,918.9881,21949268,65610
"Malawi",227.7892,589.9739,21475962,118484
"Zambia",28.4302,73.6341,21134695,752612
"Kazakhstan",7.3446,19.0225,19828165,2724900
"Chile",26.4398,68.4791,19658839,756102
"Romania",85.2703,220.8501,19618996,238391
"Chad",14.9676,38.766,18847148,1284000
"Somalia",29.8194,77.2323,18706922,637657
"Ecuador",73.9949,191.6467,18377367,276841
"Guatemala",171.3179,443.7135,18358430,108889
"Senegal",94.6427,245.1247,18221567,196722
"Netherlands",524.8329,1359.3173,17671125,41850
"Cambodia",96.9966,251.2213,17121847,181035
"Zimbabwe",43.9972,113.9528,17020321,390757
"Guinea",59.1273,153.1398,14528770,245857
"Rwanda",584.3093,1513.361,14414910,26338
"Benin",124.8676,323.4071,14080072,112622
"Burundi",529.2701,1370.8096,13591657,27834
"Bolivia",11.601,30.0465,12567336,1098581
"Tunisia",80.8747,209.4654,12564689,163610
